AR,Augmented Reality,エーアール,拡張現実感,
ARP,Address Resolution Protocol,アープ,アドレス解決プロトコル,
ASP,Application Service Provider,エーエスピー,アプリケーションサービスプロバイダ,
BCP,Business Continuity Plan,ビーシーピー,事業継続計画 / 業務継続計画,
BI,Business Intelligence,ビーアイ,企業の情報システムなどで蓄積される膨大な業務データを、利用者が自らの必要に応じて分析・加工し、業務や経営の意思決定に活用する手法,
BPO,Business Process Outsourcing,ビーピーオー,自社の業務プロセスをまとまった単位で継続的に外部の専門的な企業に委託すること,
BPR,Business Process Reengineering,ビーピーアール,企業などで既存の業務の構造を抜本的に見直し、業務の流れを最適化する観点から再構築すること,
bps,bit per second,ビーピーエス,ビット毎秒,
BSC,Balanced ScoreCard,ビーエスシー,企業や事業、プロジェクトなどの業績を4つの視点から総合的に評価する手法,
BYOD,Bring Your Own Device,ビーワイオーディー,私物の情報端末などを持ち込んで業務で利用すること,
CAD,Computer Aided Design,キャド,工業製品や建築物などの設計や製図をコンピュータを用いて行うこと,
CAM,Computer Aided Manufacturing,キャム,工業製品などの製造現場で利用される情報システムおよびソフトウェアの一つ,
CIO,Chief Information Officer,シーアイオー,最高情報責任者 / 情報統括役員,
CMMI,Capability Maturity Model Integration,シーエムエムアイ,組織がプロセス改善を行う能力を評価する手法および指標,
CPU,Central Processing Unit,シーピーユー,中央処理装置,
CRM,Customer Relationship Management,シーアールエム,顧客管理システム,
CSF,Critical Success Factors,シーエスエフ,主要成功要因。Key Success Factor（KSF）,
CSR,Corporate Social Responsibility,シーエスアール,企業が社会に与える影響について責任を持ち、社会の持続的発展のために貢献すべきとする考え方,
CSS,Cascading Style Sheets,シーエスエス,Webページの要素の配置や見栄えなどを記述するための言語,
DDoS攻撃,Distributed Denial Of Service,ディーディーオーエスこうげき / ディードスこうげき,インターネット上の多数の機器から特定のネットワークやコンピュータに一斉に接続要求を送信し、過剰な負荷をかけて機能不全に追い込む攻撃手法,
DFD,Data Flow Diagram,ディーエフディー,要素間のデータの流れを表した図,
DHCP,Dynamic Host Configuration Protocol,ディーエイチシーピー,IPアドレスなど必要な情報を自動的に割り当てるプロトコル,
DMZ,DeMilitarized Zone,ディーエムゼット,外部と内部の両ネットワークの中間に設けられたネットワーク領域。非武装地帯,
DNS,Domain Name System,ディーエヌエス,IPネットワーク上でドメイン名（ホスト名）とIPアドレスの対応関係を管理するシステム,
DOA,Data Oriented Approach,ディーオーエー,データ中心アプローチ,
dpi,dots per inch,ディーピーアイ,プリンタやイメージスキャナなどで使われる解像度の単位,
DRAM,Dynamic Random Access Memory,ディーラム,通電をやめると記憶が失われる揮発性の半導体メモリ。コンピュータの主記憶装置,
DRM,Digital Rights Management,ディーアールエム,デジタル著作権管理,
EA,Enterprise Architecture,エンタープライズアーキテクチャ,組織運営の基本理念,
EC,Electronic Commerce,イーシー,電子商取引,
ECC,Error Check and Correct,イーシーシー,誤り訂正符号,
E-R図,Entity Relationship Diagram,イーアールず,実体関連図。実体（entity）、関連（relationship）、属性（attribute）の三要素で構成された図,
ERP,Enterprise Resource Planning,イーアールピー,企業の持つ資金や人材、設備、資材、情報など様々な資源を統合的に管理・配分し、業務の効率化や経営の全体最適を目指す手法,
EVM,Earned Value Management,イーブイエム,アーンドバリュー分析。進捗状況の把握・管理をEV（Earned Value：アーンドバリュー、出来高）という概念で把握する,
FIFO,First In First Out,ファイフォ,先入先出,
FTP,File Transfer Protocol,エフティーピー,TCP/IPネットワークでファイル転送を行うことができるプロトコル,
FTTH,Fiber To The Home,エフティーティーエイチ,光ファイバーによる家庭向けのデータ通信サービス,
GPS,Global Positioning System,ジーピーエス,人工衛星を利用して自分が地球上のどこにいるのかを正確に割り出すシステム,
HaaS,Hardware as a Service,ハース,ハードウエア利用提供サービス,
HDMI,High-Definition Multimedia Interface,エイチディーエムアイ,映像や音声をデジタル信号として伝送するインターフェース規格の一つ。直接デジタルデータとして伝送するため、伝送途上で品質が劣化することがない,
HRM,Human Resource Management,エイチアールエム,人的資源管理,
HTML,HyperText Markup Language,エイチティーエムエル,Webページを記述するためのマークアップ言語,
HTTP,Hyper Text Transfer Protocol,エイチティーティーピー,WebサーバとWebクライアントの間でデータの送受信を行うために用いられるプロトコル,
IDS,Intrusion Detection System,アイディーエス,侵入検知システム。不正なアクセスを検知して管理者にメールなどで通報するシステム,
IEEE,Institute of Electrical and Electronic Engineers,アイトリプルイー,工業技術の標準化団体,
IMAP,Internet Message Access Protocol,アイマップ,電子メールを受信するためのプロトコル,
IoT,Internet of Things,アイオーティー,様々な物体に通信機能を持たせ、インターネットに接続したり自動認識や自動制御、遠隔計測などを行うこと,
IPO,Initial Public Offering,アイピーオー,未上場企業が新規に株式を証券取引所に上場し、投資家に株式を取得させること,
IPS,Intrusion Prevention System,アイピーエス,侵入防止システム。サーバやネットワークの外部との通信を監視し、侵入の試みなど不正なアクセスを検知して攻撃を未然に防ぐシステム,
IPv6,Internet Protocol version6,アイピーブイロク / アイピーブイシックス,インターネットの基礎となる通信規約プロトコル。枯渇が近いIPv4と比べて利用できるアドレス総数が多く事実上無限にあり、セキュリティ機能の強化や転送効率の向上などがなされている,
IrDA,Infrared Data Association,アイアールディーエー,赤外線通信規格,
