AR,Augmented Reality,オーグメンティドゥ　リアリティ　インテグレイション,拡張現実感,0
ARP,Address Resolution Protocol,アドゥレス　レゾリューション　［US］プロウタコル,アドレス解決プロトコル,1
ASP,Application Service Provider,アプリケイション　サーヴィス　プラヴァイダ（ァ）,アプリケーションサービスプロバイダ,0
BCP,Business Continuity Plan,ビジネス　コンティーニュイティ　プラン,事業継続計画 / 業務継続計画,1
BI,Business Intelligence,ビジネス　インテリジェンス,企業の情報システムなどで蓄積される膨大な業務データを、利用者が自らの必要に応じて分析・加工し、業務や経営の意思決定に活用する手法,0
BPO,Business Process Outsourcing,ビジネス　［US］《名》プラセス　アウトゥソースィング,自社の業務プロセスをまとまった単位で継続的に外部の専門的な企業に委託すること,1
BPR,Business Process Reengineering,ビジネス　［US］《名》プラセス　リエンジニアリング,企業などで既存の業務の構造を抜本的に見直し、業務の流れを最適化する観点から再構築すること,0
bps,bit per second,ビトゥ　パ　セカンドゥ,ビット毎秒,1
BSC,Balanced ScoreCard,バランストゥ　スコーカードゥ　,企業や事業、プロジェクトなどの業績を4つの視点から総合的に評価する手法,1
BYOD,Bring Your Own Device,ブリング　ユ　オウン　ディヴァイズ,私物の情報端末などを持ち込んで業務で利用すること,1
